driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,4,3,69,True,206.1298,7.0
0,4,3,70,False,206.5278,7.0
0,4,3,71,False,207.081,7.0
0,4,3,72,False,207.5053,7.0
0,4,3,73,False,207.7894,7.0
0,4,3,74,False,208.169,7.0
0,4,3,75,False,208.4681,7.0
0,4,3,76,False,208.8834,7.0
0,4,3,77,False,209.3873,7.0
0,4,3,78,False,209.8698,6.0
0,4,3,79,False,210.253,6.0
0,4,3,80,False,210.6303,6.0
0,4,3,81,False,211.0813,6.0
0,4,3,82,False,211.5371,6.0
0,4,3,83,False,211.8817,6.0
0,4,3,84,False,212.2303,6.0
0,4,3,85,False,212.6112,6.0
0,4,3,86,False,213.0865,6.0
0,4,3,87,False,214.0984,6.0
0,4,3,88,False,214.7404,6.0
0,4,3,89,False,215.4908,6.0
0,4,3,90,False,216.0381,6.0
0,4,3,91,False,216.6257,6.0
0,4,3,92,False,217.1163,6.0
0,4,3,93,False,217.5651,7.0
0,4,3,94,False,217.9215,7.0
0,4,3,95,False,218.2612,6.0
0,4,3,96,False,218.7168,6.0
0,4,3,97,False,219.1888,6.0
0,4,3,98,False,219.8211,6.0
0,4,3,99,False,220.2403,6.0
0,4,3,100,False,220.7177,6.0
0,4,3,101,False,221.461,6.0
0,4,3,102,False,222.1427,6.0
0,4,3,103,False,222.9148,6.0
0,4,3,104,False,223.2652,6.0
0,4,3,105,False,223.5683,6.0
0,4,3,106,False,223.9663,6.0
0,4,3,107,False,224.3484,6.0
0,4,3,108,False,224.9806,6.0
0,4,3,109,False,225.4925,6.0
0,4,3,110,False,225.9323,6.0
0,4,3,111,False,226.4606,6.0
0,4,3,112,False,226.9202,6.0
0,4,3,113,False,227.348,6.0
0,4,3,114,False,227.8293,6.0
0,4,3,115,False,228.1625,6.0
0,5,3,0,True,228.4051,6.0
0,5,3,1,False,228.6774,6.0
0,5,3,2,False,228.9422,6.0
0,5,3,3,False,229.4622,6.0
0,5,3,4,False,229.8626,6.0
0,5,3,5,False,230.3547,6.0
0,5,3,6,False,231.1953,6.0
0,5,3,7,False,231.5041,6.0
0,5,3,8,False,232.0129,6.0
0,5,3,9,False,232.7501,6.0
0,5,3,10,False,233.3345,6.0
0,5,3,11,False,233.8667,6.0
0,5,3,12,False,234.3753,6.0
0,5,3,13,False,234.8374,6.0
0,5,3,14,False,235.2798,6.0
0,5,3,15,False,235.5524,6.0
0,5,3,16,False,235.8209,6.0
0,5,3,17,False,236.3434,6.0
0,5,3,18,False,236.8771,6.0
0,5,3,19,False,237.4723,6.0
0,5,3,20,False,237.8989,6.0
0,5,3,21,False,238.5269,6.0
0,5,3,22,False,238.92,6.0
0,5,3,23,False,239.8391,6.0
0,5,3,24,False,240.8418,6.0
0,5,3,25,False,241.6316,6.0
0,5,3,26,False,242.1778,6.0
0,5,3,27,False,242.6529,6.0
0,5,3,28,False,243.1885,6.0
0,5,3,29,False,243.7158,6.0
0,5,3,30,False,244.0744,6.0
0,5,3,31,False,244.5317,6.0
0,5,3,32,False,244.9409,6.0
0,5,3,33,False,245.4689,6.0
0,5,3,34,False,246.1648,6.0
0,5,3,35,False,246.7317,6.0
0,5,3,36,True,247.1806,6.0
0,5,3,37,False,247.7027,6.0
0,5,3,38,False,247.9623,6.0
0,5,3,39,False,248.5334,6.0
0,5,3,40,False,249.1862,6.0
0,5,3,41,False,249.8519,6.0
0,5,3,42,False,250.489,6.0
0,5,3,43,False,251.0214,6.0
0,5,3,44,False,251.5973,6.0
0,5,3,45,False,251.9507,6.0
0,5,3,46,False,252.3016,6.0
0,5,3,47,False,252.7412,6.0
0,5,3,48,False,253.1347,6.0
0,5,3,49,False,253.5126,6.0
0,5,3,50,False,253.8799,6.0
0,5,3,51,False,254.3615,6.0
0,5,3,52,False,254.8346,6.0
0,5,3,53,False,255.3187,6.0
0,5,3,54,False,255.7947,6.0
0,5,3,55,False,256.1578,6.0
0,5,3,56,False,256.522,6.0
0,5,3,57,False,257.0866,6.0
0,5,3,58,False,257.342,6.0
0,5,3,59,False,257.5926,6.0
0,5,3,60,False,257.8611,6.0
0,5,3,61,False,258.1318,6.0
0,5,3,62,False,258.473,6.0
0,5,3,63,False,258.7995,6.0
0,5,3,64,False,259.0342,6.0
0,5,3,65,False,259.2723,6.0
0,5,3,66,False,259.5105,6.0
0,5,3,67,False,259.7512,6.0
0,5,3,68,False,259.9909,6.0
0,5,3,69,True,260.2449,6.0
0,5,3,70,False,260.614,6.0
0,5,3,71,False,261.0991,6.0
0,5,3,72,False,261.4568,6.0
0,5,3,73,False,261.7052,6.0
0,5,3,74,False,262.0423,6.0
0,5,3,75,False,262.3062,6.0
0,5,3,76,False,262.6769,6.0
0,5,3,77,False,263.13,6.0
0,5,3,78,False,263.6201,6.0
0,5,3,79,False,264.0167,6.0
0,5,3,80,False,264.393,6.0
0,5,3,81,False,264.8423,6.0
0,5,3,82,False,265.2994,6.0
0,5,3,83,False,265.6371,6.0
0,5,3,84,False,265.9687,6.0
0,5,3,85,False,266.3236,6.0
0,5,3,86,False,266.7293,6.0
0,5,3,87,False,267.5065,6.0
0,5,3,88,False,268.066,6.0
0,5,3,89,False,268.7718,6.0
0,5,3,90,False,269.3173,6.0
0,5,3,91,False,269.8765,6.0
0,5,3,92,False,270.3449,6.0
0,5,3,93,False,270.7802,6.0
0,5,3,94,False,271.1336,6.0
0,5,3,95,False,271.4976,6.0
0,5,3,96,False,271.9552,6.0
0,5,3,97,False,272.3726,6.0
0,5,3,98,False,272.9585,6.0
0,5,3,99,False,273.3443,6.0
0,5,3,100,False,273.8113,6.0
0,5,3,101,False,274.6083,6.0
0,5,3,102,False,275.2761,6.0
0,5,3,103,False,276.0194,6.0
0,5,3,104,False,276.3372,6.0
0,5,3,105,False,276.6356,6.0
0,5,3,106,False,277.0386,6.0
0,5,3,107,False,277.4379,6.0
0,5,3,108,False,278.0804,6.0
0,5,3,109,False,278.6011,6.0
0,5,3,110,False,279.046,6.0
0,5,3,111,False,279.5806,6.0
0,5,3,112,False,280.0459,6.0
0,5,3,113,False,280.4781,6.0
0,5,3,114,False,280.9648,6.0
0,5,3,115,False,281.3021,6.0
0,6,0,0,True,281.5473,6.0
0,6,0,1,False,281.8223,6.0
0,6,0,2,False,282.0899,6.0
0,6,0,3,False,282.6151,6.0
0,6,0,4,False,283.0147,6.0
0,6,0,5,False,283.4781,6.0
0,6,0,6,False,284.3067,6.0
0,6,0,7,False,284.6539,6.0
0,6,0,8,False,285.1935,6.0
0,6,0,9,False,286.0086,6.0
0,6,0,10,False,286.6569,6.0
0,6,0,11,False,287.2299,6.0
0,6,0,12,False,287.7679,6.0
0,6,0,13,False,288.2547,6.0
0,6,0,14,False,288.7172,6.0
0,6,0,15,False,289.0018,6.0
0,6,0,16,False,289.2805,6.0
0,6,0,17,False,289.8204,6.0
0,6,0,18,False,290.3687,6.0
0,6,0,19,False,290.9532,6.0
0,6,0,20,False,291.3865,6.0
0,6,0,21,False,291.9975,6.0
0,6,0,22,False,292.3921,6.0
0,6,0,23,False,293.3132,6.0
0,6,0,24,False,294.2874,6.0
0,6,0,25,False,295.0211,6.0
0,6,0,26,False,295.5534,6.0
0,6,0,27,False,296.0168,6.0
0,6,0,28,False,296.5426,6.0
0,6,0,29,False,297.0591,6.0
0,6,0,30,False,297.4168,6.0
0,6,0,31,False,297.8732,6.0
0,6,0,32,False,298.2788,6.0
0,6,0,33,False,298.8071,6.0
0,6,0,34,False,299.4993,6.0
0,6,0,35,False,300.0605,6.0
0,6,0,36,True,300.5221,6.0
0,6,0,37,False,301.0689,6.0
0,6,0,38,False,301.3617,6.0
0,6,0,39,False,301.9392,6.0
0,6,0,40,False,302.6074,6.0
0,6,0,41,False,303.277,6.0
0,6,0,42,False,303.9151,6.0
0,6,0,43,False,304.4476,6.0
0,6,0,44,False,305.0263,6.0
0,6,0,45,False,305.3786,6.0
0,6,0,46,False,305.7263,6.0
0,6,0,47,False,306.1672,6.0
0,6,0,48,False,306.5612,6.0
0,6,0,49,False,306.9399,6.0
0,6,0,50,False,307.3084,6.0
0,6,0,51,False,307.792,6.0
0,6,0,52,False,308.2644,6.0
0,6,0,53,False,308.7489,6.0
0,6,0,54,False,309.2259,6.0
0,6,0,55,False,309.589,6.0
0,6,0,56,False,309.9529,6.0
0,6,0,57,False,310.5193,6.0
0,6,0,58,False,310.7806,6.0
0,6,0,59,False,311.0353,6.0
0,6,0,60,False,311.3078,6.0
0,6,0,61,False,311.5814,6.0
0,6,0,62,False,311.9223,6.0
0,6,0,63,False,312.2494,6.0
0,6,0,64,False,312.4841,6.0
0,6,0,65,False,312.7225,6.0
0,6,0,66,False,312.9616,6.0
0,6,0,67,False,313.2047,6.0
0,6,0,68,False,313.4709,6.0
0,6,0,69,True,313.7635,6.0
0,6,0,70,False,314.1829,6.0
0,6,0,71,False,314.6747,6.0
0,6,0,72,False,315.0421,6.0
0,6,0,73,False,315.2932,6.0
0,6,0,74,False,315.6238,6.0
0,6,0,75,False,315.8823,6.0
0,6,0,76,False,316.2432,6.0
0,6,0,77,False,316.68,6.0
0,6,0,78,False,317.1246,6.0
0,6,0,79,False,317.4781,6.0
0,6,0,80,False,317.8211,6.0
0,6,0,81,False,318.2391,6.0
0,6,0,82,False,318.6703,6.0
0,6,0,83,False,318.9864,6.0
0,6,0,84,False,319.2987,6.0
0,6,0,85,False,319.6354,6.0
0,6,0,86,False,320.0252,6.0
0,6,0,87,False,320.7707,6.0
0,6,0,88,False,321.3332,6.0
0,6,0,89,False,322.0162,6.0
0,6,0,90,False,322.548,6.0
0,6,0,91,False,323.1022,6.0
0,6,0,92,False,323.5625,6.0
0,6,0,93,False,323.9919,6.0
0,6,0,94,False,324.3416,6.0
0,6,0,95,False,324.6771,6.0
0,6,0,96,False,325.1117,6.0
0,6,0,97,False,325.5619,6.0
0,6,0,98,False,326.1715,6.0
