driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
17,2326793,2864515.0,5,2,276916.0,346531.0,88.36878360215054,85.44476646505376,0.0,0.0,0.0,0.0,10000,10000.0,False,False,86.90677503360214,0.0,10000.0,0.0,69615.0,53.7722,17,16
18,2302614,2852633.0,5,1,239963.0,302913.0,86.56121191756273,83.03578629032258,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.79849910394265,0.0,10000.0,0.0,62950.0,55.0019,12,12
19,2365323,2907858.0,5,2,237076.0,294428.0,90.04217069892474,87.63323252688173,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.83770161290323,0.0,10000.0,0.0,57352.0,54.2535,18,18
0,2815473,3348682.0,6,1,303651.0,365711.0,82.9944556451613,79.5188732078853,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.2566644265233,0.0,10000.0,0.0,62060.0,53.3209,6,6
1,2768674,3299672.0,6,1,303033.0,368781.0,83.02906586021506,79.34694220430107,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.18800403225806,0.0,10000.0,0.0,65748.0,53.0998,1,1
2,2828415,3363815.0,6,2,299009.0,360223.0,87.4408182123656,84.86966565860214,0.0,0.0,0.0,0.0,10000,10000.0,False,False,86.15524193548387,0.0,10000.0,0.0,61214.0,53.54,9,9
3,2790579,3322623.0,6,1,306790.0,369494.0,82.81866039426524,79.30701164874552,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.06283602150538,0.0,10000.0,0.0,62704.0,53.2044,3,3
4,2803842,3335159.0,6,1,303064.0,365955.0,83.02732974910394,79.50520833333333,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.26626904121864,0.0,10000.0,0.0,62891.0,53.1317,4,4
5,2825228,3360758.0,6,1,304218.0,369468.0,82.96270161290323,79.30846774193549,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.13558467741936,0.0,10000.0,0.0,65250.0,53.553,8,8
6,2787546,3320022.0,6,1,303707.0,362547.0,82.99131944444444,79.6960685483871,0.0,0.0,0.0,0.0,10000,10000.0,False,False,81.34369399641577,0.0,10000.0,0.0,58840.0,53.2476,2,2
